# 'search_', 'region_', 'reported_n', 'reported_bkg', 'reported_bkg_hi', 'reported_bkg_lo', 'reported_s95obs', 'reported_s95exp', 'reported_s95exp_hi', 'reported_s95exp_lo', 'region_n', 'fit_cabinetry_bkg', 'fit_cabinetry_err', 'fit_cabinetry_post_bkg', 'fit_cabinetry_post_err', 'limit_cabinetry_logl', 'limit_cabinetry_2obs', 'limit_cabinetry_3obs', 'limit_cabinetry_post_2obs', 'limit_cabinetry_post_3obs', 'limit_normal_logl', 'limit_normal_2obs', 'limit_normal_3obs', 'limit_normal_log_logl', 'limit_normal_log_2obs', 'limit_normal_log_3obs', 'limit_linspace_logl', 'limit_linspace_2obs', 'limit_linspace_3obs', 'limit_delta_logl', 'limit_delta_2obs', 'limit_delta_3obs', 'limit_mcmc_logl', 'limit_mcmc_2obs', 'limit_mcmc_3obs', 'limit_cabinetry_3exp', 'limit_cabinetry_3exp_hi', 'limit_cabinetry_3exp_lo', 'limit_cabinetry_nexp', 'limit_cabinetry_nexp_hi', 'limit_cabinetry_nexp_lo', 'limit_normal_3exp', 'limit_normal_3exp_hi', 'limit_normal_3exp_lo', 'limit_normal_nexp', 'limit_normal_nexp_hi', 'limit_normal_nexp_lo', 'limit_normal_log_3exp', 'limit_normal_log_3exp_hi', 'limit_normal_log_3exp_lo', 'limit_normal_log_nexp', 'limit_normal_log_nexp_hi', 'limit_normal_log_nexp_lo', 'limit_linspace_3exp', 'limit_linspace_3exp_hi', 'limit_linspace_3exp_lo', 'limit_linspace_nexp', 'limit_linspace_nexp_hi', 'limit_linspace_nexp_lo', 'limit_delta_3exp', 'limit_delta_3exp_hi', 'limit_delta_3exp_lo', 'limit_delta_nexp', 'limit_delta_nexp_hi', 'limit_delta_nexp_lo', 'limit_mcmc_3exp', 'limit_mcmc_3exp_hi', 'limit_mcmc_3exp_lo', 'limit_mcmc_nexp', 'limit_mcmc_nexp_hi', 'limit_mcmc_nexp_lo'
# '<U27', '<U25', '<i8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8', '<f8'
'atlas_susy_1Lbb_2020', 'SR_LM_disc', 34, 27.0, 4.0, -4.0, 36.8, 20.0, 9.0, -5.4, 34.0, 27.394999337827173, 4.0778069259497896, 30.008610776500838, 3.47862600230759, -0.7055462889343458, 24.070260516040832, 27.49418502302604, 19.664802481252476, 23.145402754155526, -0.7055407938482758, 24.071773266735, 27.49607285713744, -0.696478076819787, 23.610906819481368, 26.93723069339115, -0.628182881366223, 23.125501358132386, 26.593063206358938, -0.7389796912845572, 22.13582317471203, 25.134055039083428, -0.7032395386256143, 24.62620112563452, 28.196054983966075, 18.01191770104613, 27.51723869458021, 11.443594235572975, 27.394999237060546, 34.01409937764873, 20.775899096472354, 18.014391395550543, 27.52101195775255, 11.445054880777386, 27.395085468292237, 34.01526486676127, 20.7749060698232, 17.86811540024881, 27.55051208459495, 11.05287025007657, 27.696543312072755, 34.37788821699217, 21.015198407153342, 18.93233375742388, 29.42774176078589, 11.533768710790202, 28.541915740966797, 35.792313791926304, 21.29151769000729, 14.893661914597818, 22.68142250337061, 9.743343438623963, 27.395085590847536, 32.62911707631336, 22.161054105381716, 19.843424178948453, 30.703608146311648, 12.061586525672075, 27.98906053543091, 35.60791824842235, 20.37020282243947
'atlas_susy_1Lbb_2020', 'SR_MM_disc', 13, 8.6, 2.2, -2.2, 24.8, 15.3, 6.2, -4.6, 13.0, 8.623271609841947, 2.087427999369416, 10.314639623915745, 2.122093307153313, -0.8584962986988908, 15.829724352638785, 18.073522053112814, 13.090808821168018, 15.4605251951849, -0.8585172688740219, 15.830523971556085, 18.074412123118893, -0.828337947583029, 15.456675779624636, 17.670924409125323, -0.68513117657308, 14.509007652991613, 16.927181145138494, -0.9596625568445605, 15.223490020283466, 17.31774922757312, -0.4889681311003047, 13.063573935629858, 15.486686769391834, 10.7191835277082, 16.594740675232877, 6.550185252112738, 8.623384914398194, 12.218495818861346, 5.028274009935044, 10.72007724145896, 16.596151417302284, 6.550570668101024, 8.623211460113525, 12.218734681782392, 5.027688238444659, 10.727445538791343, 16.840855023251915, 6.342432028971128, 8.87617099761963, 12.556484878923701, 5.195857116315558, 13.633361351751242, 23.607003298237835, 6.697894472222005, 10.956035976409913, 16.83488265322293, 5.077189299596895, 9.317125415215935, 14.303473317219852, 6.005559368441112, 8.623097351781608, 11.559608436688595, 5.686586266874621, 13.281947682152936, 21.607742661222932, 7.13602265117905, 11.530742168426514, 16.688925491812867, 6.37255884504016
'atlas_susy_1Lbb_2020', 'SR_HM_disc', 14, 8.1, 2.7, -2.7, 14.7, 9.7, 3.3, -2.7, 14.0, 8.095013399955834, 2.643587625878236, 11.906963713707757, 3.1228697162757295, -1.2651444998746069, 19.08167486690321, 21.339921002399002, 13.525261037020847, 16.139397084029966, -1.247159921882318, 19.128959077623648, 21.40195945376738, -1.1953503801031258, 18.436724470325004, 20.6533895075633, -0.8833277813172618, 16.259634226858676, 18.73066574118499, -1.7645181199071427, 18.820575870545305, 20.827306957491945, -1.8592507519109396, 21.440870819261566, 23.51052191811724, 11.274484337236775, 17.48973099258523, 6.73367632172325, 8.103527297973633, 11.96951579744616, 4.237538798501107, 11.423726408553648, 17.725182606855757, 6.795417780366649, 8.107841758728027, 12.044658211067809, 4.171025306388245, 11.433516723346367, 18.33523441001539, 6.237094759970402, 8.569554862976075, 12.734099174284884, 4.4050105516672655, 16.62367392346504, 27.508422276987105, 7.350500032723737, 12.612565002441407, 19.784546095156028, 5.440583909726787, 9.096773604788332, 13.970128969163111, 5.858018314957548, 8.094770078063615, 10.939901020228424, 5.249639135898805, 10.765105422735223, 18.275091178038934, 5.23950421921301, 7.005894203186035, 11.225413404774358, 2.786375001597712
'atlas_susy_1Ljets_2021', 'SR2JBVEM_meffInc30_gluino', 22, 12.8, 2.2, -2.2, 19.0, 10.1, 4.0, -2.3, 22.0, 13.642857655289093, 2.3684927606375763, 16.531955041947537, 2.637764455278539, -1.6999600630960028, 24.704966548303258, 27.15831099237173, 19.476136489768695, 22.21602373281839, -1.6986760107839558, 24.716730756540745, 27.171664000789683, -1.619972681739232, 24.234762793684393, 26.678585358990265, -1.2886438642337508, 22.71692490480846, 25.25518638005778, -2.157816044056892, 24.78998305766547, 27.043933768484973, -1.5922468525703064, 24.33342858313231, 26.787713224571398, 12.634303437988775, 19.448807356023686, 7.905294200808568, 13.642857723236084, 18.022518159017572, 9.263197287454593, 12.648035274215697, 19.47042015144507, 7.911885776921557, 13.638322353363037, 18.02427111857292, 9.252373588153155, 12.626546396150559, 19.59194768697703, 7.745619971314123, 13.845026264190674, 18.281736611436507, 9.408315916944842, 13.435989353359904, 21.34644079286766, 7.8799977683615765, 14.857865238189698, 19.849424258846483, 9.866306217532912, 11.147056256011462, 17.06289721751425, 7.2302867807545725, 13.638322317712756, 17.33133224427845, 9.945312391147063, 12.90923783077524, 20.339335755382624, 7.673434959376827, 13.863729572296142, 18.544789892254126, 9.182669252338158
'atlas_susy_1Ljets_2021', 'SR2JBVEM_meffInc30_squark', 106, 86.0, 12.0, -12.0, 47.8, 31.3, 13.0, -9.6, 106.0, 87.84031159115892, 12.568245144380565, 99.84986323685062, 8.236099516510823, -1.1350404626029946, 57.13761557383861, 63.9015517378921, 34.62317150325471, 40.845419363818735, -1.1349817752309543, 57.26718764861354, 64.05759934140133, -1.1435671490275168, 55.36646528748538, 61.392934689284715, -1.0276003295634761, 53.22883254201001, 59.48632302117358, -1.7632710891738554, 48.98475493444735, 53.20632324336524, -0.965591932468331, 51.7672009684642, 58.104547114816334, 39.83768325170197, 60.07348387407681, 25.89994511144278, 87.84031162261962, 103.45429631365079, 72.22632693158846, 39.99043377952535, 60.30060640651184, 26.000159088061622, 87.82295066833495, 103.49982867402939, 72.14607266264052, 38.67572844056007, 59.3327680982333, 23.58608238169615, 88.72651653289795, 104.57794806904582, 72.87508499675008, 39.65136820203369, 60.977734407864936, 24.114321046181864, 90.69192846298218, 107.04184033439996, 74.34201659156439, 24.996572407053083, 37.76362054112397, 16.52726449150195, 87.82295072484791, 97.19434073513176, 78.45156071456407, 39.76055850952258, 61.12257906768267, 24.222495258484415, 91.7399204826355, 108.11826344483498, 75.36157752043601
'atlas_susy_1Ljets_2021', 'SR4JhighxBVEM_meffInc30', 11, 7.1, 2.3, -2.3, 12.0, 8.3, 3.5, -2.0, 11.0, 7.125501231631214, 2.2869669107941597, 9.118002958317263, 2.1788846195438882, -0.8092881934744783, 14.72156172895603, 16.893299765365004, 11.554848547552886, 13.846453560327689, -0.8095761081655084, 14.696664642221881, 16.86481844079199, -0.7940622757412906, 14.251268900209883, 16.371481776258694, -0.588493565055263, 12.857877633421992, 15.076842337606651, -0.9008799561053173, 13.901332975650016, 15.900197297750827, -0.868145912833371, 14.59277834490832, 16.693657161264223, 10.433171386725773, 16.206479302229987, 6.219489163882152, 7.131675052642822, 10.632998877485733, 3.6303512277999115, 10.392592335672308, 16.14153667817807, 6.20363110049712, 7.132565689086914, 10.61453604247367, 3.6505953357001584, 10.42916333660627, 16.610031043474635, 5.854641771413878, 7.487970199584961, 11.12851280094063, 3.8474275982292925, 12.030596407700296, 19.64613805310323, 6.232173805137001, 9.070883693695068, 13.665497279874096, 4.476270107516041, 8.674621045062509, 13.329863714870894, 5.576189477017293, 7.127319789451798, 9.797023853473089, 4.457615725430507, 10.483564617418919, 16.938196704584225, 5.703361672547765, 7.377392082214356, 11.131158074247903, 3.6236260901808084
'atlas_susy_1Ljets_2021', 'SR4JlowxBVEM_meffInc30', 10, 9.5, 1.7, -1.7, 8.9, 8.4, 3.3, -2.0, 10.0, 9.484252820620952, 1.6560111799346091, 9.609455524796154, 1.4693855946962946, -0.143974962081677, 9.060274592295684, 11.272196916259725, 8.758317796706311, 10.955587541172845, -0.15448564417917612, 9.129681527300653, 11.34908936276642, -0.14978546927765019, 8.94558356310926, 11.141519576252165, -0.153497249296511, 8.605173745220823, 10.811478911969534, -0.013787663270184991, 8.269745051313091, 10.406157247118974, -0.18710202568831374, 9.50566493054116, 11.685972781578352, 10.533992276128455, 16.26448622334719, 6.564671639945837, 9.484252891540528, 12.975932156495205, 5.992573626585852, 10.611580824039429, 16.388865091743693, 6.5977595632593, 9.484029197692871, 13.011612230995276, 5.956446164390467, 10.626239619584593, 16.516289721633875, 6.515996895841174, 9.641289501190185, 13.210709064718264, 6.071869937662106, 10.933438576515174, 17.097380593412986, 6.6328753734153025, 10.086867561340332, 13.826291047877698, 6.347444074802967, 9.662570043496908, 14.82570286287101, 6.236409593318395, 9.484029126280033, 12.563644220131867, 6.4044140324282, 10.439698232580797, 16.294949229414605, 6.354541260536649, 9.163189601898193, 12.673264537662176, 5.6531146661342095
'atlas_susy_1Ljets_2021', 'SR6JBVEM_meffInc30_gluino', 2, 1.8, 0.6, -0.6, 4.7, 4.3, 1.9, -0.8, 2.0, 1.8301131050702104, 0.6364159581379885, 1.8622928723763599, 0.5837892483793438, -0.12202373722942786, 4.757292587134352, 6.162420623560241, 4.679031345132053, 6.0843092690262965, -0.12349145999542632, 4.760379432154846, 6.165553200173843, -0.11068652553471917, 4.641204725404368, 6.045705020585307, -0.1838815725777855, 4.397619428669705, 5.806760343902492, -0.007605191591880528, 4.472839975712636, 5.874406356757791, -0.15801728864683484, 4.45973127267757, 5.868363656313154, 5.84241580684782, 9.065531942950825, 3.439052905637418, 1.8338063621520997, 3.3263908381875185, 0.3412218861166807, 5.847100372220935, 9.073803780572664, 3.4384541379007763, 1.8345910835266113, 3.3293804397714757, 0.3398017272817466, 5.939685683309695, 9.325502704710429, 3.4590946154970488, 1.9447843933105469, 3.502274289449839, 0.38729449717125464, 6.707058275269144, 10.9278642373268, 3.5660604433953407, 2.4955985832214354, 4.494863358358349, 0.4963338080845221, 5.552941722274723, 8.51316001226717, 3.511501702275618, 1.8306173515892443, 3.1836204379084307, 0.4776142652700577, 6.459943742292106, 10.370164216366344, 3.556406622278725, 2.3223862266540527, 4.165621794670227, 0.4791506586378784
'atlas_susy_1Ljets_2021', 'SR6JBVEM_meffInc30_squark', 5, 5.3, 0.8, -0.8, 6.0, 6.0, 24.0, -1.5, 5.0, 5.349349646351361, 0.8612056484517221, 5.305725694209386, 0.7999302661848582, -0.07399507480724567, 5.852223945874706, 7.612566947195679, 5.853976771230396, 7.611709300763145, -0.07472140033892515, 5.854921407629205, 7.615500451443618, -0.07570215211301469, 5.784860675636075, 7.541163354251386, -0.13762694551813162, 5.613805505082718, 7.3718551251300815, -0.011704268743750523, 5.5653278285825, 7.304657445687399, -0.19578288596460117, 5.2635727585074275, 7.014044502990783, 8.131574063032193, 12.57787199188186, 5.070539671587056, 5.349349575042725, 7.815442142996754, 2.8832570070886954, 8.135403948261692, 12.584408130444066, 5.071604234628451, 5.3499618339538575, 7.81789236225549, 2.8820313056522244, 8.163150622499618, 12.655797758541175, 5.07178607743297, 5.419613189697266, 7.907120382646969, 2.9321059967475622, 8.610684565157078, 13.554212105352214, 5.183001165329218, 5.852966918945312, 8.594535883146104, 3.111397954744519, 7.81913270788272, 12.02766195291116, 5.005751760798773, 5.349961953649133, 7.662960430442651, 3.0369634768556155, 8.81532740203757, 13.774429897386153, 5.378187080730767, 6.307203922271729, 9.108121088416706, 3.5062867561267512
'atlas_susy_2L0J_2019', 'SR_DF_0J_100_inf', 95, 96.0, 15.0, -15.0, 34.1, 35.2, 13.9, -10.0, 95.0, 97.23162756129273, 14.87065270000658, 95.84803812868111, 7.9780644961475735, -0.6049414919661682, 34.502982713664366, 42.71394353377704, 25.58375637553009, 31.67911942420147, -0.6074540819486074, 34.55295465059581, 42.781878666824696, -0.5976927151850343, 32.56296725909642, 39.58939681148448, -0.8632897697547427, 25.240898523228836, 31.66232792903785, -0.026616991237712995, 18.72875979960396, 23.771591975149025, -2.561397677370484, 12.22075217072743, 17.15026795231746, 45.08174013864624, 67.87962049311369, 29.385859405501527, 97.23162757873536, 114.99568217698905, 79.46757298048166, 45.18534683475757, 68.03456045641173, 29.45484175079923, 97.26660762786865, 115.073316516365, 79.4598987393723, 43.352577895885624, 66.61118045178057, 26.154716369147774, 98.40277597427368, 116.44416146934262, 80.36139047920474, 50.00682517211729, 78.53908307286666, 26.486226376095566, 111.93295692443847, 134.6829800370086, 89.18293381186834, 26.19695637780753, 39.553718330950396, 17.333484131999825, 97.26660776842161, 107.12899124141745, 87.40422429542576, 46.90327617138368, 73.65946051868055, 26.57652188330683, 131.53727653503418, 152.1887785825898, 110.88577448747854
